"Cloud Adoption Strategy Evaluator - Apr 16, 2024 - 11:13:31 PM",,,,,
,,,,,
Recommendations to improve your cloud adoption strategy.,,,,,
Your overall results,High,'10/11',,,
Identifying your motivations,High,'9/11',,,
Documenting business outcomes you expect,High,'12/14',,,
Financial considerations for you to evaluate,High,'10/10',,,
Technical considerations for your business case,High,'10/10',,,
Organizational alignment and skills readiness plans,High,'10/10',,,
Creating your business case,High,'10/10',,,
,,,,,
,,,,,
Download the template,https://raw.githubusercontent.com/microsoft/CloudAdoptionFramework/master/strategy/azure-virtual-machine-cost-estimator.pbix,,,,
Download the word template,https://raw.githubusercontent.com/microsoft/CloudAdoptionFramework/master/plan/cloud-adoption-framework-strategy-and-plan-template.docx,,,,
Configure and estimate the costs for Azure products,https://azure.microsoft.com/pricing/calculator,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
Identifying your motivations,"When responding to a critical business event that drives cloud adoption, review the get started guide for accelerating migration.",https://learn.microsoft.com/azure/cloud-adoption-framework/get-started/migrate,High,,,0,,N,
Identifying your motivations,"Explore the migrate methodology in the Cloud Adoption Framework, which outlines the strategy for performing a cloud migration.",https://learn.microsoft.com/azure/cloud-adoption-framework/get-started/migrate,High,,,0,,N,
Identifying your motivations,"Explore the migrate methodology in the Cloud Adoption Framework, which outlines the strategy for performing a cloud migration.",https://learn.microsoft.com/azure/cloud-adoption-framework/get-started/migrate,High,,,0,,N,
Identifying your motivations,Explore the innovate methodology of the Cloud Adoption Framework that guides the development of new products and services.,https://learn.microsoft.com/azure/cloud-adoption-framework/get-started/innovate,High,,,0,,N,
Identifying your motivations,Review the cloud center of excellence guidance.,https://learn.microsoft.com/azure/cloud-adoption-framework/organize/cloud-center-of-excellence,High,,,0,,N,
Documenting business outcomes you expect,"Review the basic concepts of fiscal outcome conversations around revenue, cost, and profit.",https://learn.microsoft.com/azure/cloud-adoption-framework/strategy/business-outcomes/fiscal-outcomes,High,,,0,,N,
